Prompt;Accepted;Rejected;;
Recommended film if you watched:Toy Story (1995);Jumanji (1995)-Father of the Bride Part II (1995)-Balto (1995)-Ace Ventura: When Nature Calls (1995)-Babe (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-Tom and Huck (1995);;
Recommended film if you watched:Jumanji (1995);Toy Story (1995)-Tom and Huck (1995)-GoldenEye (1995)-Cutthroat Island (1995)-City of Lost Children, The (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Grumpier Old Men (1995);Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995)-Cutthroat Island (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Waiting to Exhale (1995);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995)-Nixon (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Father of the Bride Part II (1995);Toy Story (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995)-Big Green, The (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Heat (1995);GoldenEye (1995)-Cutthroat Island (1995)-Casino (1995)-Four Rooms (1995)-Get Shorty (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Sabrina (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995)-Cutthroat Island (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Tom and Huck (1995);Jumanji (1995)-GoldenEye (1995)-Balto (1995)-Cutthroat Island (1995)-City of Lost Children, The (1995);Toy Story (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Sudden Death (1995);Money Train (1995)-Fair Game (1995)-Bad Boys (1995)-Under Siege 2: Dark Territory (1995)-Drop Zone (1994);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:GoldenEye (1995);Jumanji (1995)-Heat (1995)-Tom and Huck (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Sabrina (1995);;
